"Interval","Hour","GMTIntervalEnd","variable","value"
2021-01-05 16:10:00,16,2021-01-05 22:10:00,"wind_pen_actual",NA
2021-01-05 16:05:00,16,2021-01-05 22:05:00,"wind_pen_actual",NA
2021-01-05 16:00:00,16,2021-01-05 22:00:00,"wind_pen_actual",NA
2021-01-05 15:55:00,15,2021-01-05 21:55:00,"wind_pen_actual",NA
2021-01-05 15:50:00,15,2021-01-05 21:50:00,"wind_pen_actual",NA
2021-01-05 15:45:00,15,2021-01-05 21:45:00,"wind_pen_actual",NA
2021-01-05 15:40:00,15,2021-01-05 21:40:00,"wind_pen_actual",NA
2021-01-05 15:35:00,15,2021-01-05 21:35:00,"wind_pen_actual",NA
2021-01-05 15:30:00,15,2021-01-05 21:30:00,"wind_pen_actual",NA
2021-01-05 15:25:00,15,2021-01-05 21:25:00,"wind_pen_actual",NA
2021-01-05 15:20:00,15,2021-01-05 21:20:00,"wind_pen_actual",NA
2021-01-05 15:15:00,15,2021-01-05 21:15:00,"wind_pen_actual",NA
2021-01-05 15:10:00,15,2021-01-05 21:10:00,"wind_pen_actual",NA
2021-01-05 15:05:00,15,2021-01-05 21:05:00,"wind_pen_actual",NA
2021-01-05 15:00:00,15,2021-01-05 21:00:00,"wind_pen_actual",NA
2021-01-05 14:55:00,14,2021-01-05 20:55:00,"wind_pen_actual",NA
2021-01-05 14:50:00,14,2021-01-05 20:50:00,"wind_pen_actual",NA
2021-01-05 14:45:00,14,2021-01-05 20:45:00,"wind_pen_actual",NA
2021-01-05 14:40:00,14,2021-01-05 20:40:00,"wind_pen_actual",NA
2021-01-05 14:35:00,14,2021-01-05 20:35:00,"wind_pen_actual",NA
2021-01-05 14:30:00,14,2021-01-05 20:30:00,"wind_pen_actual",NA
2021-01-05 14:25:00,14,2021-01-05 20:25:00,"wind_pen_actual",NA
2021-01-05 14:20:00,14,2021-01-05 20:20:00,"wind_pen_actual",NA
2021-01-05 14:15:00,14,2021-01-05 20:15:00,"wind_pen_actual",NA
2021-01-05 14:10:00,14,2021-01-05 20:10:00,"wind_pen_actual",NA
2021-01-05 14:05:00,14,2021-01-05 20:05:00,"wind_pen_actual",NA
2021-01-05 14:00:00,14,2021-01-05 20:00:00,"wind_pen_actual",NA
2021-01-05 13:55:00,13,2021-01-05 19:55:00,"wind_pen_actual",NA
2021-01-05 13:50:00,13,2021-01-05 19:50:00,"wind_pen_actual",NA
2021-01-05 13:45:00,13,2021-01-05 19:45:00,"wind_pen_actual",NA
2021-01-05 13:40:00,13,2021-01-05 19:40:00,"wind_pen_actual",NA
2021-01-05 13:35:00,13,2021-01-05 19:35:00,"wind_pen_actual",NA
2021-01-05 13:30:00,13,2021-01-05 19:30:00,"wind_pen_actual",NA
2021-01-05 13:25:00,13,2021-01-05 19:25:00,"wind_pen_actual",NA
2021-01-05 13:20:00,13,2021-01-05 19:20:00,"wind_pen_actual",NA
2021-01-05 13:15:00,13,2021-01-05 19:15:00,"wind_pen_actual",NA
2021-01-05 13:10:00,13,2021-01-05 19:10:00,"wind_pen_actual",NA
2021-01-05 13:05:00,13,2021-01-05 19:05:00,"wind_pen_actual",NA
2021-01-05 13:00:00,13,2021-01-05 19:00:00,"wind_pen_actual",NA
2021-01-05 12:55:00,12,2021-01-05 18:55:00,"wind_pen_actual",NA
